rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,spy_relative_21d,sector_etf,sector_etf_return_21d,sector_relative_21d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
75,RKLB,Rocket Lab Corporation,Industrials,,NMS,47942344704.00000000,2026-07-10,81.04000092,-0.01829197,-0.19331075,-0.25122426,-0.27551030,XLI,0.03599084,-0.28721510,0.65653494,2936412622.41569519,1.04584178,0.15933287,0.07990297,-0.46056045,1.05268495,spy_relative;sector_relative;single_day_move;gap,4,threshold,10.45170000,2026-07-10,2,2,2,69.00000000,-6.00000000,True,False
76,GLUE,"Monte Rosa Therapeutics, Inc.",Healthcare,,NMS,1856857472.00000000,2026-07-10,23.04000092,-0.06035887,-0.04832706,0.38711620,0.36283016,XLV,0.04056407,0.34655213,0.83301936,38029801.95720673,0.71384447,0.10926615,0.03768436,-0.08968782,4.49880683,spy_relative;sector_relative;single_day_move,3,threshold,10.42820000,2026-07-10,1,1,1,,,True,False
77,FCEL,"FuelCell Energy, Inc.",Industrials,,NGM,1525056768.00000000,2026-07-10,21.03000069,-0.08565214,-0.25186765,0.20240143,0.17811539,XLI,0.03599084,0.16641059,1.03522418,364200531.16384506,1.44159102,0.24166663,0.18412939,-0.41599551,4.36479599,spy_relative;sector_relative;single_day_move;gap,4,threshold,10.38940000,2026-07-10,2,2,2,35.00000000,-42.00000000,True,False
78,AAOI,"Applied Optoelectronics, Inc.",Technology,,NGM,8977560576.00000000,2026-07-10,119.91999817,-0.01873825,-0.00851591,-0.26375249,-0.28803853,XLK,0.02771474,-0.29146723,0.55156421,1745214578.76220703,0.67264298,0.13893590,0.07726448,-0.46248321,5.15289890,spy_relative;sector_relative;single_day_move;gap,4,threshold,10.33240000,2026-07-10,2,2,2,45.00000000,-33.00000000,True,False
79,CRVS,"Corvus Pharmaceuticals, Inc.",Healthcare,,NGM,1236970112.00000000,2026-07-10,15.67000008,-0.03271609,0.02889038,0.40286481,0.37857878,XLV,0.04056407,0.36230074,1.05512067,20097374.46810722,0.15980080,0.07338768,0.04617970,-0.38597179,2.82195133,spy_relative;sector_relative;single_day_move,3,threshold,10.30940000,2026-07-10,1,1,1,,,True,False
80,CERT,"Certara, Inc.",Healthcare,,NMS,1056283712.00000000,2026-07-10,6.76999998,-0.00294551,-0.02869438,0.30694985,0.28266381,XLV,0.04056407,0.26638577,0.90791399,31498283.57228756,1.58879435,0.16122844,0.05058048,-0.50220590,0.51116070,spy_relative;sector_relative;volatility;single_day_move,4,threshold,10.22560000,2026-07-10,2,2,2,75.00000000,-5.00000000,True,False
81,PVLA,"Palvella Therapeutics, Inc.",Healthcare,,NGM,2094485504.00000000,2026-07-10,144.75999451,-0.04157838,-0.01362769,0.38698851,0.36270247,XLV,0.04056407,0.34642444,0.54333201,42896377.65411377,0.84806220,0.09527557,0.03014428,-0.06509947,4.25444641,spy_relative;sector_relative;single_day_move,3,threshold,10.22520000,2026-07-10,1,1,1,,,True,False
82,DAN,Dana Incorporated,Consumer Cyclical,,NYQ,2930872832.00000000,2026-07-10,27.32999992,0.03561957,0.09714974,-0.25225717,-0.27654321,XLY,0.01182355,-0.26408072,0.75031073,69992582.83233643,1.87527745,0.15111363,0.06456162,-0.29797072,0.77813924,spy_relative;sector_relative;volatility;single_day_move,4,threshold_and_sector_coverage,10.16680000,2026-07-10,1,1,1,,,True,False
83,QLYS,"Qualys, Inc.",Technology,,NMS,5336785408.00000000,2026-07-10,152.69000244,-0.04203524,0.03085341,0.39176013,0.36747409,XLK,0.02771474,0.36404538,0.97157906,113639542.20584869,1.00774954,0.07146195,0.02800197,-0.04203524,1.00380589,spy_relative;sector_relative;single_day_move,3,threshold,10.16490000,2026-07-10,1,1,1,,,True,False
84,GRND,Grindr Inc.,Technology,,NYQ,2781411584.00000000,2026-07-10,15.68999958,-0.01937503,-0.02303860,0.37873457,0.35444853,XLK,0.02771474,0.35101983,1.06514897,27864956.17837906,1.34097508,0.09185802,0.06332636,-0.28257892,0.59289330,spy_relative;sector_relative;single_day_move,3,threshold,10.13060000,2026-07-10,1,1,1,,,True,False
85,SYRE,"Spyre Therapeutics, Inc.",Healthcare,,NMS,8139631104.00000000,2026-07-10,97.73999786,-0.01022787,0.12824658,0.27864985,0.25436381,XLV,0.04056407,0.23808578,0.65228113,165903490.20038605,1.14641978,0.13561245,0.14250388,-0.02571772,5.59514169,spy_relative;sector_relative;single_day_move;gap,4,threshold,10.12870000,2026-07-10,2,2,2,84.00000000,-1.00000000,True,False
86,AMPL,"Amplitude, Inc.",Technology,,NCM,1241316096.00000000,2026-07-10,9.18000031,-0.02132194,0.03846156,0.31896555,0.29467952,XLK,0.02771474,0.29125081,0.84573397,20052665.66298008,0.85204266,0.11764707,0.07712414,-0.29601224,0.63636365,spy_relative;sector_relative;single_day_move;gap,4,threshold,10.10660000,2026-07-10,1,1,1,,,True,False
87,IREN,IREN LIMITED,Financial Services,,NMS,13930620928.00000000,2026-07-10,41.13999939,-0.01390225,0.05976300,-0.23843023,-0.26271627,XLF,0.06195196,-0.30038219,0.94899555,1956881688.14590454,0.93420875,0.13111799,0.08114378,-0.46158883,1.67142860,spy_relative;sector_relative;single_day_move;gap,4,threshold_and_sector_coverage,10.07100000,2026-07-10,2,2,2,115.00000000,28.00000000,True,False
88,MXL,"MaxLinear, Inc",Technology,,NMS,7996454400.00000000,2026-07-10,91.30000305,-0.04697286,-0.01954467,0.25740259,0.23311655,XLK,0.02771474,0.22968785,0.69652504,352425211.09237671,1.05807289,0.18032633,0.11945255,-0.28688586,5.99616871,spy_relative;sector_relative;single_day_move;gap,4,threshold,10.06760000,2026-07-10,2,2,2,100.00000000,12.00000000,True,False
89,SNDK,Sandisk Corporation,Technology,,NMS,247897817088.00000000,2026-07-10,1915.92004395,0.03102349,0.09794845,0.16360368,0.13931764,XLK,0.02771474,0.13588893,0.99977220,23935235246.51428223,1.52143585,0.21966510,0.16915735,-0.17947750,46.08577313,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,10.00900000,2026-07-10,2,2,2,150.00000000,61.00000000,True,False
90,DMRA,"Damora Therapeutics, Inc.",Healthcare,,NCM,1723489408.00000000,2026-07-10,28.53000069,-0.07309941,-0.04836554,0.36116421,0.33687818,XLV,0.04056407,0.32060014,0.67902897,24521957.02349663,0.95123209,0.12505891,0.02977669,-0.16432334,10.05814013,spy_relative;sector_relative;single_day_move,3,threshold,10.00500000,2026-07-10,2,2,2,94.00000000,4.00000000,True,False
91,INOD,Innodata Inc.,Technology,,NGM,2224483072.00000000,2026-07-10,67.80000305,-0.01994792,-0.01567936,-0.31355669,-0.33784273,XLK,0.02771474,-0.34127144,0.66108661,112500485.76507568,0.48176730,0.10263645,0.06897918,-0.44197528,0.96806971,spy_relative;sector_relative;single_day_move,3,threshold,9.95520000,2026-07-10,2,2,2,109.00000000,18.00000000,True,False
92,CRCL,"Circle Internet Group, Inc.",Financial Services,,NYQ,16835304448.00000000,2026-07-10,66.13999939,0.04967467,0.02352208,-0.18446362,-0.20874966,XLF,0.06195196,-0.24641558,1.06726286,1029785459.16372299,0.89685942,0.17548707,0.12140939,-0.71864898,0.31674298,spy_relative;sector_relative;single_day_move;gap,4,threshold,9.93090000,2026-07-10,2,2,2,66.00000000,-26.00000000,True,False
